mean_ranks,created_at,loss,train_loss,epoch
3727.75,2023-04-07 05:06:16.479348,,,
,2023-04-07 05:06:17.058062,"tensor(12.4845, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4845, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:17.294162,,12.484541893005371,1.0
,2023-04-07 05:06:17.829998,"tensor(12.3473, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3473, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:18.541813,"tensor(12.2056, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2056, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:19.262589,"tensor(12.0854, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.0854, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:19.968216,"tensor(11.9609, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.9609, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:20.671988,"tensor(11.8598, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.8598, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:21.397232,"tensor(11.7525, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7525, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:22.120149,"tensor(11.6557, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.6557, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:22.830129,"tensor(11.5196, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.5196, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:23.743337,"tensor(11.4271, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.4271, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:24.690431,"tensor(11.3430, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.3430, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:25.703596,"tensor(11.2378, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.2378, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:26.436227,"tensor(11.1447, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.1447, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:27.143418,"tensor(11.0440, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.0440, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:27.863417,"tensor(10.9063, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.9063, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:28.567432,"tensor(10.8362, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.8362, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:29.279149,"tensor(10.7424, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.7424, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:29.998383,"tensor(10.6494, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.6494, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:30.707813,"tensor(10.5580, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.5580, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:31.420151,"tensor(10.5122, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.5122, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:32.132832,"tensor(10.4291, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.4291, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:32.834218,"tensor(10.2886, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.2886, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:33.548014,"tensor(10.2296, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.2296, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:34.262698,"tensor(10.1653, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.1653, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:34.987169,"tensor(10.1202, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.1202, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:35.710257,"tensor(10.0890, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.0890, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:36.626524,"tensor(9.9890, device='cuda:0', grad_fn=<AddBackward0>)","tensor(9.9890, device='cuda:0', grad_fn=<AddBackward0>)",
,2023-04-07 05:06:37.568312,"tensor(9.9396, device='cuda:0', grad_fn=<AddBackward0>)","tensor(9.9396, device='cuda:0', grad_fn=<AddBackward0>)",
